62	729	270	361	688	770	409	805	430	480	838	957	191	389	701	928	66	83	491	540	617	742	751	812	162	661	528	972	726	744	621	865	193	500	754	882	437	439	495	809	753	796	463	685	153	220	81	175	89	619	414	544	432	670	122	893	356	683	43	348
330	803	718	808	105	577	22	107	206	769	123	797	494	981	400	603	273	317	766	825	165	630	414	535	538	646	419	945	75	266	89	831	423	545	412	958	29	286	161	653	86	445	534	617	290	402	460	900	759	893	333	527	394	715	33	978	226	725	56	693
289	483	179	471	132	893	271	330	81	562	438	957	408	767	395	435	99	164	457	935	519	595	39	649	168	718	478	949	89	632	147	848	22	801	286	764	551	661	63	977	265	594	537	748	159	171	543	574	469	614	315	433	80	336	290	566	565	926	138	590
149	846	30	717	228	493	807	969	131	358	631	676	275	429	21	705	495	707	17	173	233	278	320	839	735	904	492	915	43	118	365	446	315	357	841	926	392	585	142	959	5	982	90	211	704	727	174	798	85	192	300	765	252	866	305	856	13	65	109	849
467	595	439	915	505	864	261	728	410	891	272	629	307	930	153	729	230	892	277	908	142	797	164	939	814	993	352	829	576	798	315	755	720	784	155	396	189	515	440	969	65	114	144	578	577	821	109	284	265	359	584	625	221	317	103	979	16	240	237	839
369	751	818	844	403	803	424	719	58	934	462	797	127	735	371	700	456	754	357	922	531	762	201	240	614	954	487	490	307	475	325	583	553	650	491	672	658	843	256	586	418	592	159	904	291	737	231	780	134	974	225	509	179	545	442	784	319	607	328	661
153	790	377	464	687	883	139	430	83	717	353	882	801	917	466	719	544	926	645	724	567	738	200	476	747	984	305	488	262	703	144	938	113	126	84	374	697	939	111	401	608	772	222	743	865	867	517	752	321	614	4	774	306	546	173	628	131	712	357	649
192	495	39	621	197	863	729	937	153	804	55	269	646	822	446	862	444	806	84	841	13	122	749	952	34	679	49	774	531	684	149	768	99	276	622	899	229	938	111	236	540	783	52	187	273	579	924	974	522	817	5	732	134	798	15	763	116	435	709	734
308	731	601	635	355	561	145	629	34	552	388	729	519	600	501	799	217	403	268	571	193	207	770	880	127	303	378	401	335	798	142	339	240	520	578	972	845	949	518	680	390	458	91	999	553	904	538	879	423	615	576	915	740	919	456	547	506	531	286	574
39	455	714	793	712	886	189	835	83	893	43	157	623	807	673	920	850	983	146	396	241	730	487	874	196	495	191	287	77	801	135	940	266	529	154	810	635	912	13	430	238	648	298	465	316	378	406	766	947	981	420	555	482	839	440	619	176	984	228	578
924	963	294	406	935	938	956	962	282	960	273	675	663	761	690	863	537	930	4	953	40	737	599	630	589	720	486	771	122	637	391	490	110	443	708	981	324	946	870	977	503	627	160	492	261	835	150	752	726	857	784	805	426	454	104	464	341	496	71	621
519	963	328	552	81	101	216	691	490	828	426	432	846	901	261	362	287	487	493	853	301	396	735	974	182	806	283	752	385	560	133	802	116	836	672	965	66	960	109	583	339	976	377	779	59	650	179	524	200	617	17	720	348	452	132	409	515	648	686	991
298	620	304	999	109	501	882	996	99	531	288	991	133	228	390	710	150	975	34	251	96	443	162	768	161	174	49	762	442	489	111	861	256	832	485	909	405	964	46	687	622	921	204	553	303	892	237	742	39	59	376	954	1	282	741	899	63	413	302	441
308	734	652	735	879	979	299	348	579	786	18	851	4	838	109	724	310	948	147	288	143	586	210	242	465	947	123	929	435	776	163	533	531	889	584	703	806	874	237	718	29	316	76	377	799	846	693	815	504	709	822	980	264	621	154	404	341	434	277	503
253	399	174	718	90	343	502	637	33	258	155	513	904	978	666	782	638	685	745	896	410	880	239	349	88	662	11	382	142	762	738	868	392	490	145	376	455	635	841	900	640	681	411	724	499	533	707	934	721	729	337	964	195	463	208	869	536	859	650	936
192	229	463	604	103	498	844	940	8	136	757	933	630	928	305	435	884	984	43	96	71	814	742	858	93	423	236	245	446	834	107	177	122	325	406	651	186	581	448	550	54	287	221	747	131	349	302	480	248	967	263	552	456	925	454	712	227	857	86	294
935	998	492	962	34	121	152	855	186	468	312	924	70	889	268	347	176	540	116	818	247	657	230	986	29	600	154	506	313	346	417	738	431	791	160	362	158	841	372	919	142	317	808	837	397	524	376	528	279	466	202	514	1	988	2	903	86	126	460	902
324	999	461	512	445	855	168	944	579	716	436	938	356	955	405	564	350	384	638	920	720	806	277	690	38	556	500	725	166	694	267	393	825	974	398	897	339	713	413	497	293	639	325	644	146	715	257	893	86	91	125	437	68	187	430	874	550	578	526	706
320	633	652	905	419	814	446	623	167	217	304	890	578	946	289	365	284	422	405	742	467	722	469	518	594	965	685	877	20	166	7	569	102	306	226	743	604	919	574	778	283	802	311	811	300	387	358	775	885	967	235	611	671	857	455	809	254	966	234	341
505	773	695	781	382	728	277	559	321	794	312	940	141	849	435	656	98	439	0	987	89	906	405	646	163	302	527	926	94	758	49	228	86	689	225	282	403	874	200	311	66	353	52	479	339	802	262	875	169	901	100	112	29	304	151	644	217	864	487	732
531	687	451	829	553	746	924	972	6	964	448	515	48	276	254	627	25	370	410	474	422	800	380	637	449	561	183	827	102	358	161	675	155	432	902	905	241	343	131	210	705	865	517	604	66	282	173	718	312	813	253	906	362	744	267	585	588	843	168	544
101	649	60	900	313	874	126	658	425	587	48	318	109	453	386	484	31	918	192	784	98	796	710	992	435	919	83	102	94	890	560	956	284	785	215	812	115	662	941	977	578	794	189	720	465	504	375	865	392	520	137	972	202	954	42	387	488	957	166	782
552	593	478	955	212	878	321	530	57	145	427	437	79	928	264	850	659	847	36	370	909	954	586	991	195	649	617	890	186	786	856	961	4	798	548	831	763	855	98	762	25	996	489	537	157	713	76	364	238	971	550	891	5	449	147	819	872	874	230	963
69	769	4	198	177	623	413	463	324	885	900	928	484	897	279	346	465	848	511	949	352	964	305	996	188	932	826	914	518	835	394	533	643	689	116	358	34	609	91	871	197	931	44	921	233	384	719	828	295	556	59	77	175	213	154	415	128	751	39	381
495	942	149	198	39	526	182	880	148	683	644	783	196	614	61	941	111	789	647	734	437	638	299	838	534	819	47	255	209	269	421	544	355	554	144	228	345	974	126	499	190	619	406	580	610	851	82	225	905	932	33	470	344	790	367	782	855	900	90	892
196	441	334	649	360	861	522	791	751	930	606	821	419	969	57	588	112	267	110	845	450	742	370	729	465	612	480	721	271	639	449	890	616	745	99	621	408	678	582	739	211	223	129	344	44	413	494	759	734	975	683	900	184	435	290	711	610	780	382	562
547	731	864	984	196	603	491	884	164	809	416	837	288	485	595	605	22	352	296	456	570	793	225	856	350	428	744	976	15	469	487	708	562	638	124	258	619	666	79	479	56	860	224	696	108	966	772	820	831	892	13	516	346	402	446	450	461	710	173	756
133	249	474	799	330	932	350	364	185	411	136	735	529	652	404	852	705	737	37	854	232	870	430	522	201	907	386	747	5	708	86	170	202	550	204	788	503	731	192	579	556	649	240	805	663	736	409	962	4	637	164	733	153	980	552	686	406	734	361	959
729	733	425	700	493	979	575	779	413	799	245	984	725	905	156	510	94	676	494	605	47	797	497	812	280	512	181	748	252	523	54	288	290	770	44	115	122	939	214	513	68	302	101	722	952	954	116	152	822	988	660	986	233	966	792	846	574	900	390	589
17	634	287	469	716	831	29	825	773	936	51	364	397	755	214	529	48	238	208	775	101	809	349	396	60	898	706	971	200	224	513	852	502	817	426	695	432	913	105	328	515	523	307	772	709	833	58	343	246	623	121	731	332	444	395	883	376	715	26	797
